name_en	translation_bg	synonym1_bg	synonym2_bg	synonym3_bg
Surinamese Restaurant	Суринамски ресторант			
Sushi Restaurant	Суши ресторант			
Swedish Restaurant	Шведски ресторант			
Swimming Club	Клуб по плуване	Плувен клуб		
Swimming Pool	Басейн	Плувен басейн		
Swiss Restaurant	Швейцарски ресторант			
Synagogue	Синагога			
Syrian Restaurant	Сирийски ресторант			
Table Tennis Club	Клуб по тенис на маса	Клуб по пинг-понг		
Taiwanese Restaurant	Тайвански ресторант			
Takeaway Food	Храна за вкъщи	Храна за вън		
Tapas Restaurant	Ресторант за тапас			
Taxi Limousine And Shuttle Service Company	Такси и лимузинска компания	Таксиметрова компания		
Technical School	Техническо училище	Техникум		
Temple	Храм			
Tennis Club	Тенис клуб	Клуб по тенис		
Tennis Court	Тенис корт	Корт за тенис		
Teppanyaki Restaurant	Ресторант тепаняки			
Thai Restaurant	Тайландски ресторант			
Tibetan Restaurant	Тибетски ресторант			
Tourist Information Office	Туристически информационен офис	Туристическа информация	Информационен център	
Tram Stop	Трамвайна спирка	Спирка на трамвай		
Transport Company	Транспортна компания			
Truck Parking Facility	Паркинг за камиони	Камионен паркинг		
Truck Stop	Спирка за камиони	Камионна спирка		
Truck Wash	Автомивка за камиони	Камионна автомивка		
Tunisian Restaurant	Тунизийски ресторант			
Turkish Restaurant	Турски ресторант			
Tyres Service	Сервиз за гуми	Вулканизация		
Urban Railway Station	Градска жп гара	Градска железопътна гара		
Uruguayan Restaurant	Уругвайски ресторант			
Vegan Restaurant	Веган ресторант			
Vegetarian Restaurant	Вегетариански ресторант			
Venezuelan Restaurant	Венецуелски ресторант			
Vietnamese Restaurant	Виетнамски ресторант			
Vocational School	Професионално училище			
Volleyball Club	Волейболен клуб	Клуб по волейбол		
Welsh Restaurant	Уелски ресторант			
Western Restaurant	Западен ресторант			
Wilderness Area	Дива природа	Необитаема местност		
Wine Bar	Винен бар
