name_en	translation_cs	synonym1_cs	synonym2_cs	synonym3_cs
Peruvian Restaurant	Peruánská restaurace			
Pharmaceutical Industry	Farmaceutický průmysl			
Philippine Restaurant	Filipínská restaurace			
Pizzeria	Pizzerie			
Polish Restaurant	Polská restaurace			
Polynesian Restaurant	Polynéská restaurace			
Portuguese Restaurant	Portugalská restaurace			
Pre School	Mateřská škola	Předškolní zařízení		
Preserve	Rezervace	Přírodní rezervace		
Primary School	Základní škola			
Private Airport	Soukromé letiště			
Private Club	Soukromý klub			
Provençal Restaurant	Provensálská restaurace			
Pub Food Restaurant	Hospodská restaurace	Hospoda		
Public Airport	Veřejné letiště			
Public Transport Ticket Office	Pokladna veřejné dopravy			
Race Track	Závodní dráha	Okruh		
Recreational Marijuana Dispensary	Lékárna s rekreační marihuanou			
Retirement Community	Domov důchodců	Seniorské bydlení		
River Scenic Area	Říční oblast	Břeh řeky		
Rock Climbing Trail	Horolezecká stezka	Via ferrata		
Romanian Restaurant	Rumunská restaurace			
Rowing Club	Veslařský klub			
Rugby Club	Ragbyový klub			
Rugby Ground	Ragbyové hřiště			
Running Club	Běžecký klub			
Russian Restaurant	Ruská restaurace			
Sailing Club	Jachtařský klub	Plachetní klub		
Salad Bar	Salátový bar			
Sandwich Restaurant	Sendvičová restaurace	Obložené chlebíčky		
Savoy Restaurant	Savojská restaurace			
Scandinavian Restaurant	Skandinávská restaurace			
Scottish Restaurant	Skotská restaurace			
Scuba Diving Club	Potápěčský klub			
Seafood Restaurant	Restaurace s mořskými plody	Rybí restaurace		
Seashore	Mořské pobřeží	Pobřeží moře		
Senior High School	Gymnázium	Vyšší stupeň SŠ		
Shandong Restaurant	Šan-tungská restaurace			
Shanghainese Restaurant	Šanghajská restaurace			
Shooting Club	Střelecký klub			
Sichuan Restaurant	Sečuánská restaurace			
Sicilian Restaurant	Sicilská restaurace			
Skateboard Club	Skateboardový klub			
Ski Resort	Lyžařské středisko			
Skiing Club	Lyžařský klub			
Slavic Restaurant	Slovanská restaurace			
Slovak Restaurant	Slovenská restaurace			
Snacks Restaurant	Restaurace s občerstvením	Snack bar		
Snooker, Pool or Billiard Centre	Kulečníkové centrum	Biliárové centrum		
Soccer Club	Fotbalový klub			
Soccer Stadium	Fotbalový stadion			
Soul Food	Soul food			
Soup Restaurant	Polévková restaurace			
Spanish Restaurant	Španělská restaurace			
Special Clothing and Accessories Shop	Specializovaný obchod s oblečením a doplňky			
Special School	Speciální škola			
Specialist	Specialista			
Specialized Hospital	Specializovaná nemocnice			
Sport School	Sportovní škola			
Sports Clothing and Accessories Shop	Obchod se sportovním oblečením a doplňky			
Squash Club	Squashový klub			
Squash Court	Squashové hřiště			
Steak House	Steakhouse	Steakový restaurant		
Subway Station	Stanice metra	Metro		
Sudanese Restaurant	Súdánská restaurace			
Surinamese Restaurant	Surinamská restaurace			
Sushi Restaurant	Sushi restaurace			
Swedish Restaurant	Švédská restaurace			
Swimming Club	Plavecký klub			
Swimming Pool	Bazén	Plavecký bazén		
Swiss Restaurant	Švýcarská restaurace			
Synagogue	Synagoga			
Syrian Restaurant	Syrská restaurace			
Table Tennis Club	Klub stolního tenisu			
Taiwanese Restaurant	Tchajwanská restaurace			
Takeaway Food	Jídlo s sebou	Takeaway		
Tapas Restaurant	Tapas restaurace			
Taxi Limousine And Shuttle Service Company	Taxislužba limuzín a kyvadlové dopravy			
Technical School	Technická škola			
Temple	Chrám	Svatyně		
Tennis Club	Tenisový klub			
Tennis Court	Tenisový kurt			
Teppanyaki Restaurant	Teppanyaki restaurace			
Thai Restaurant	Thajská restaurace			
Tibetan Restaurant	Tibetská restaurace			
Tourist Information Office	Turistické informační centrum	Infocentrum		
Tram Stop	Tramvajová zastávka			
Transport Company	Dopravní společnost			
Truck Parking Facility	Parkoviště pro nákladní vozidla			
Truck Stop	Zastávka pro nákladní vozidla			
Truck Wash	Mycí rampa pro kamiony	Kamiónová myčka		
Tunisian Restaurant	Tuniská restaurace			
Turkish Restaurant	Turecká restaurace			
Tyres Service	Pneuservis			
Urban Railway Station	Městské nádraží			
Uruguayan Restaurant	Uruguayská restaurace			
Vegan Restaurant	Veganská restaurace			
Vegetarian Restaurant	Vegetariánská restaurace			
Venezuelan Restaurant	Venezuelská restaurace			
Vietnamese Restaurant	Vietnamská restaurace			
Vocational School	Odborná škola	Učiliště		
Volleyball Club	Volejbalový klub			
Welsh Restaurant	Welšská restaurace			
Western Restaurant	Western restaurace	Restaurace se západní kuchyní		
Wilderness Area	Divoká příroda	Pustina		
Wine Bar	Vinný bar	Vinárna		
