name_en	translation_bs	synonym1_bs	synonym2_bs	synonym3_bs
Sudanese Restaurant	Sudanski restoran			
Surinamese Restaurant	Surinamski restoran			
Sushi Restaurant	Sushi restoran			
Swedish Restaurant	Švedski restoran			
Swimming Club	Plivački klub			
Swimming Pool	Bazen	Plivački bazen		
Swiss Restaurant	Švicarski restoran			
Synagogue	Sinagoga			
Syrian Restaurant	Sirijski restoran			
Table Tennis Club	Stoni tenis klub			
Taiwanese Restaurant	Tajvanski restoran			
Takeaway Food	Hrana za ponijeti			
Tapas Restaurant	Tapas restoran			
Taxi Limousine And Shuttle Service Company	Taksi limuzina i shuttle kompanija			
Technical School	Tehnička škola			
Temple	Hram			
Tennis Club	Tenis klub			
Tennis Court	Tenis teren			
Teppanyaki Restaurant	Teppanyaki restoran			
Thai Restaurant	Tajlandski restoran			
Tibetan Restaurant	Tibetski restoran			
Tourist Information Office	Turistički informativni ured	Turistička informacija		
Tram Stop	Tramvajska stanica	Tramvajsko stajalište		
Transport Company	Transportna kompanija	Prijevozna kompanija		
Truck Parking Facility	Parking za kamione			
Truck Stop	Stajalište za kamione	Kamionsko stajalište		
Truck Wash	Kamionska perionica			
Tunisian Restaurant	Tuniski restoran			
Turkish Restaurant	Turski restoran			
Tyres Service	Servis guma			
Urban Railway Station	Gradska željeznička stanica			
Uruguayan Restaurant	Urugvajski restoran			
Vegan Restaurant	Veganski restoran			
Vegetarian Restaurant	Vegetarijanski restoran			
Venezuelan Restaurant	Venecuelanski restoran			
Vietnamese Restaurant	Vijetnamski restoran			
Vocational School	Stručna škola			
Volleyball Club	Odbojkaški klub			
Welsh Restaurant	Velški restoran			
Western Restaurant	Western restoran	Restoran zapadne kuhinje		
Wilderness Area	Divljina	Područje divljine		
Wine Bar	Vinski bar	Vinoteka		
