name_en	translation_sq	IsSynonym
Tram Stop	Stacion Tramvaji	
Tram Stop	Ndalesa Tramvaji	SYNONYM
Transport Company	Kompani Transporti	
Truck Parking Facility	Parking Kamionësh	
Truck Stop	Stacion Kamionësh	
Truck Stop	Ndalesa Kamionësh	SYNONYM
Truck Wash	Larje Kamionësh	
Truck Wash	Lavazh Kamionësh	SYNONYM
Tunisian Restaurant	Restorant Tunizian	
Turkish Restaurant	Restorant Turk	
Tyres Service	Shërbim Gomash	
Tyres Service	Riparim Gomash	SYNONYM
Urban Railway Station	Stacion Hekurudhor Urban	
Urban Railway Station	Stacion Treni Urban	SYNONYM
Uruguayan Restaurant	Restorant Uruguaian	
Vegan Restaurant	Restorant Vegan	
Vegetarian Restaurant	Restorant Vegjetarian	
Venezuelan Restaurant	Restorant Venezuelan	
Vietnamese Restaurant	Restorant Vietnamez	
Vocational School	Shkollë Profesionale	
Volleyball Club	Klub Volejbolli	
Welsh Restaurant	Restorant Uellsian	
Western Restaurant	Restorant Perëndimor	
Wilderness Area	Zonë e Egër	
Wilderness Area	Natyrë e Egër	SYNONYM
Wine Bar	Bar Verësh	
