name_en	translation_cs	IsSynonym
Clothing and Accessories Shop for Children	Obchod s dětským oblečením a doplňky	
Clothing and Accessories Shop for Children	Dětské oblečení	SYNONYM
Clothing and Accessories Shop for Men	Obchod s pánským oblečením a doplňky	
Clothing and Accessories Shop for Men	Pánské oblečení	SYNONYM
Clothing and Accessories Shop for Women	Obchod s dámským oblečením a doplňky	
Clothing and Accessories Shop for Women	Dámské oblečení	SYNONYM
Coach Parking Facility	Parkoviště pro autobusy	
Coach Stop	Autobusová zastávka	
Cocktail Bar	Koktejlový bar	
Cocktail Bar	Cocktail bar	SYNONYM
Colombian Restaurant	Kolumbijská restaurace	
Concert Hall	Koncertní síň	
Concert Hall	Koncertní hala	SYNONYM
Corsican Restaurant	Korsická restaurace	
Creole Restaurant	Kreolská restaurace	
Cricket Club	Kriketový klub	
Cricket Ground	Kriketové hřiště	
Cuban Restaurant	Kubánská restaurace	
Culinary School	Kuchařská škola	
Culinary School	Gastronomická škola	SYNONYM
Cycling Club	Cyklistický klub	
Cypriot Restaurant	Kyperská restaurace	
Czech Restaurant	Česká restaurace	
Danish Restaurant	Dánská restaurace	
Dinner Theater	Divadlo s večeří	
Discotheque	Diskotéka	
Discotheque	Noční klub	SYNONYM
Dominican Restaurant	Dominikánská restaurace	
Dongbei Restaurant	Dongbei restaurace	
Doughnut Restaurant	Restaurace s koblihami	
Doughnut Restaurant	Koblihy	SYNONYM
Drive Through Bottle Shop	Obchod s nápoji na průjezd	
Drive-In Cinema	Autokino	
Dutch Restaurant	Holandská restaurace	
Egyptian Restaurant	Egyptská restaurace	
English Restaurant	Anglická restaurace	
Erotic Restaurant	Erotická restaurace	
Ethiopian Restaurant	Etiopská restaurace	
Exotic Restaurant	Exotická restaurace	
Fairground	Lunapark	
Fairground	Zábavní park	SYNONYM
Fast Food Restaurant	Rychlé občerstvení	
Fast Food Restaurant	Fast food	SYNONYM
Field Hockey Club	Klub pozemního hokeje	
Field Hockey Ground	Hřiště pro pozemní hokej	
Finnish Restaurant	Finská restaurace	
Fondue Restaurant	Fondue restaurace	
French Restaurant	Francouzská restaurace	
Fusion Restaurant	Fusion restaurace	
Gas Industry	Plynárenský průmysl	
General Practitioner	Praktický lékař	
General Practitioner	Obvodní lékař	SYNONYM
German Restaurant	Německá restaurace	
Golf Club	Golfový klub	
Greek Restaurant	Řecká restaurace	
Grill Restaurant	Grilová restaurace	
Grill Restaurant	Restaurace s grilem	SYNONYM
Guangdong Restaurant	Guangdongská restaurace	
Guangdong Restaurant	Kantonská restaurace	SYNONYM
Gurudwara	Gurudwara	
Gurudwara	Sikhský chrám	SYNONYM
Gymnastics Club	Gymnastický klub	
Hamburger Restaurant	Hamburgerová restaurace	
Hamburger Restaurant	Burger restaurace	SYNONYM
Hawaiian Restaurant	Havajská restaurace	
High School	Střední škola	
Hiking Trail	Turistická stezka	
Hiking Trail	Pěší stezka	SYNONYM
Historic Site	Historické místo	
Historic Site	Památné místo	SYNONYM
Historical Park	Historický park	
Hockey Club	Hokejový klub	
Horse Race Track	Závodiště	
Horse Race Track	Hipodrom	SYNONYM
Horse Riding Club	Jezdecký klub	
Horse Riding Trail	Jezdecká stezka	
Hospital for Women and Children	Nemocnice pro ženy a děti	
Hospital of Chinese Medicine	Nemocnice čínské medicíny	
Hot Pot Restaurant	Hot pot restaurace	
Hunan Restaurant	Hunanská restaurace	
Hungarian Restaurant	Maďarská restaurace	
Ice Cream Parlor	Zmrzlinárna	
Ice Hockey Arena	Hokejová aréna	
Ice Hockey Club	Klub ledního hokeje	
Indian Restaurant	Indická restaurace	
Indonesian Restaurant	Indonéská restaurace	
International Railway Station	Mezinárodní nádraží	
International Restaurant	Mezinárodní restaurace	
Iranian Restaurant	Íránská restaurace	
Irish Restaurant	Irská restaurace	
Israeli Restaurant	Izraelská restaurace	
Italian Restaurant	Italská restaurace	
Japanese Restaurant	Japonská restaurace	
Jazz Club	Jazzový klub	
Jazz Club	Jazz klub	SYNONYM
Jewish Restaurant	Židovská restaurace	
Jewish Restaurant	Košer restaurace	SYNONYM
Karaoke Bar	Karaoke bar	
Korean Restaurant	Korejská restaurace	
Kosher Restaurant	Košer restaurace	
Lakeshore	Břeh jezera	
Lakeshore	Jezerní břeh	SYNONYM
Latin American Restaurant	Latinskoamerická restaurace	
Lebanese Restaurant	Libanonská restaurace	
Local Post Office	Místní pošta	
Local Post Office	Pošta	SYNONYM
Luxembourgian Restaurant	Lucemburská restaurace	
Macrobiotic Restaurant	Makrobiotická restaurace	
Maghrib Restaurant	Maghrebská restaurace	
Maltese Restaurant	Maltézská restaurace	
Mauritian Restaurant	Mauricijská restaurace	
Medicinal Marijuana Dispensary	Lékárna s léčebnou marihuanou	
Mediterranean Restaurant	Středomořská restaurace	
Mexican Restaurant	Mexická restaurace	
Middle Eastern Restaurant	Blízkovýchodní restaurace	
Middle School	Základní škola	
Middle School	Druhý stupeň ZŠ	SYNONYM
Military Airport	Vojenské letiště	
Mining Company	Těžební společnost	
Mongolian Restaurant	Mongolská restaurace	
Moroccan Restaurant	Marocká restaurace	
Mosque	Mešita	
Motor Racing Stadium	Závodní stadion	
Motor Racing Stadium	Automotodrom	SYNONYM
Motor Sport Club	Motoristický klub	
Motor Sport Club	Automotoklub	SYNONYM
Motorcycle Racing Club	Motocyklový závodní klub	
Mountain Bike Trail	Trasa pro horská kola	
Multi-Purpose Sport Stadium	Víceúčelový sportovní stadion	
Music and Video Rental Shop	Půjčovna hudby a videa	
Music Center	Hudební centrum	
Mussels Restaurant	Restaurace se slávkami	
Nail Salon	Nehtový salon	
Nail Salon	Manikúra	SYNONYM
National Railway Station	Hlavní nádraží	
National Railway Station	Národní nádraží	SYNONYM
Natural Recreation Attraction	Přírodní rekreační atrakce	
Nepalese Restaurant	Nepálská restaurace	
Netball Club	Netballový klub	
Netball Stadium	Netballový stadion	
Norwegian Restaurant	Norská restaurace	
Oil Industry	Ropný průmysl	
Opera House	Opera	
Opera House	Operní dům	SYNONYM
Organic Food Restaurant	Restaurace s biopotravinami	
Organic Food Restaurant	Bio restaurace	SYNONYM
Oriental Restaurant	Orientální restaurace	
Pagoda	Pagoda	
Pakistani Restaurant	Pákistánská restaurace	
Pancake House	Palačinkárna	
Parkway	Parkový okruh	
Parkway	Promenáda	SYNONYM
Peruvian Restaurant	Peruánská restaurace	
Pharmaceutical Industry	Farmaceutický průmysl	
Philippine Restaurant	Filipínská restaurace	
Pizzeria	Pizzerie	
Polish Restaurant	Polská restaurace	
Polynesian Restaurant	Polynéská restaurace	
Portuguese Restaurant	Portugalská restaurace	
Pre School	Mateřská škola	
Pre School	Předškolní zařízení	SYNONYM
Preserve	Rezervace	
Preserve	Přírodní rezervace	SYNONYM
Primary School	Základní škola	
Private Airport	Soukromé letiště	
Private Club	Soukromý klub	
Provençal Restaurant	Provensálská restaurace	
Pub Food Restaurant	Hospodská restaurace	
Pub Food Restaurant	Hospoda	SYNONYM
Public Airport	Veřejné letiště	
Public Transport Ticket Office	Pokladna veřejné dopravy	
Race Track	Závodní dráha	
Race Track	Okruh	SYNONYM
Recreational Marijuana Dispensary	Lékárna s rekreační marihuanou	
Retirement Community	Domov důchodců	
Retirement Community	Seniorské bydlení	SYNONYM
River Scenic Area	Říční oblast	
River Scenic Area	Břeh řeky	SYNONYM
Rock Climbing Trail	Horolezecká stezka	
Rock Climbing Trail	Via ferrata	SYNONYM
Romanian Restaurant	Rumunská restaurace	
Rowing Club	Veslařský klub	
Rugby Club	Ragbyový klub	
Rugby Ground	Ragbyové hřiště	
Running Club	Běžecký klub	
Russian Restaurant	Ruská restaurace	
Sailing Club	Jachtařský klub	
Sailing Club	Plachetní klub	SYNONYM
Salad Bar	Salátový bar	
Sandwich Restaurant	Sendvičová restaurace	
Sandwich Restaurant	Obložené chlebíčky	SYNONYM
Savoy Restaurant	Savojská restaurace	
Scandinavian Restaurant	Skandinávská restaurace	
Scottish Restaurant	Skotská restaurace	
Scuba Diving Club	Potápěčský klub	
Seafood Restaurant	Restaurace s mořskými plody	
Seafood Restaurant	Rybí restaurace	SYNONYM
Seashore	Mořské pobřeží	
Seashore	Pobřeží moře	SYNONYM
Senior High School	Gymnázium	
Senior High School	Vyšší stupeň SŠ	SYNONYM
Shandong Restaurant	Šan-tungská restaurace	
Shanghainese Restaurant	Šanghajská restaurace	
Shooting Club	Střelecký klub	
Sichuan Restaurant	Sečuánská restaurace	
Sicilian Restaurant	Sicilská restaurace	
Skateboard Club	Skateboardový klub	
Ski Resort	Lyžařské středisko	
Skiing Club	Lyžařský klub	
Slavic Restaurant	Slovanská restaurace	
Slovak Restaurant	Slovenská restaurace	
Snacks Restaurant	Restaurace s občerstvením	
Snacks Restaurant	Snack bar	SYNONYM
Snooker, Pool or Billiard Centre	Kulečníkové centrum	
Snooker, Pool or Billiard Centre	Biliárové centrum	SYNONYM
Soccer Club	Fotbalový klub	
Soccer Stadium	Fotbalový stadion	
Soul Food	Soul food	
Soup Restaurant	Polévková restaurace	
Spanish Restaurant	Španělská restaurace	
Special Clothing and Accessories Shop	Specializovaný obchod s oblečením a doplňky	
Special School	Speciální škola	
Specialist	Specialista	
Specialized Hospital	Specializovaná nemocnice	
Sport School	Sportovní škola	
Sports Clothing and Accessories Shop	Obchod se sportovním oblečením a doplňky	
Squash Club	Squashový klub	
Squash Court	Squashové hřiště	
Steak House	Steakhouse	
Steak House	Steakový restaurant	SYNONYM
Subway Station	Stanice metra	
Subway Station	Metro	SYNONYM
Sudanese Restaurant	Súdánská restaurace	
Surinamese Restaurant	Surinamská restaurace	
Sushi Restaurant	Sushi restaurace	
Swedish Restaurant	Švédská restaurace	
Swimming Club	Plavecký klub	
Swimming Pool	Bazén	
Swimming Pool	Plavecký bazén	SYNONYM
Swiss Restaurant	Švýcarská restaurace	
Synagogue	Synagoga	
Syrian Restaurant	Syrská restaurace	
Table Tennis Club	Klub stolního tenisu	
Taiwanese Restaurant	Tchajwanská restaurace	
Takeaway Food	Jídlo s sebou	
Takeaway Food	Takeaway	SYNONYM
Tapas Restaurant	Tapas restaurace	
Taxi Limousine And Shuttle Service Company	Taxislužba limuzín a kyvadlové dopravy	
Technical School	Technická škola	
Temple	Chrám	
Temple	Svatyně	SYNONYM
Tennis Club	Tenisový klub	
Tennis Court	Tenisový kurt	
Teppanyaki Restaurant	Teppanyaki restaurace	
Thai Restaurant	Thajská restaurace	
Tibetan Restaurant	Tibetská restaurace	
Tourist Information Office	Turistické informační centrum	
Tourist Information Office	Infocentrum	SYNONYM
Tram Stop	Tramvajová zastávka	
Transport Company	Dopravní společnost	
Truck Parking Facility	Parkoviště pro nákladní vozidla	
Truck Stop	Zastávka pro nákladní vozidla	
Truck Wash	Mycí rampa pro kamiony	
Truck Wash	Kamiónová myčka	SYNONYM
Tunisian Restaurant	Tuniská restaurace	
Turkish Restaurant	Turecká restaurace	
Tyres Service	Pneuservis	
Urban Railway Station	Městské nádraží	
Uruguayan Restaurant	Uruguayská restaurace	
Vegan Restaurant	Veganská restaurace	
Vegetarian Restaurant	Vegetariánská restaurace	
Venezuelan Restaurant	Venezuelská restaurace	
Vietnamese Restaurant	Vietnamská restaurace	
Vocational School	Odborná škola	
Vocational School	Učiliště	SYNONYM
Volleyball Club	Volejbalový klub	
Welsh Restaurant	Welšská restaurace	
Western Restaurant	Western restaurace	
Western Restaurant	Restaurace se západní kuchyní	SYNONYM
Wilderness Area	Divoká příroda	
Wilderness Area	Pustina	SYNONYM
Wine Bar	Vinný bar	
Wine Bar	Vinárna	SYNONYM
