name_en	translation_sr	translation_bg	translation_ro
Clothing and Accessories Shop for Men	Мушка одећа и додатоци	Магазин за мъжко облекло	Magazin haine bărbaţi
Clothing and Accessories Shop for Women	Женска одећа и додатоци	Магазин за дамско облекло	Magazin haine femei
Coach Parking Facility	Паркинг за туристички аутобуси	Паркинг за автобуси	Parcare autocare
Coach Stop	Стоп за туристички автобус	Спирка за междуградски автобуси	Staţie autocare
Cocktail Bar	Коктел бар	Коктейл бар	Bar cocktail
Colombian Restaurant	Колумбиски ресторан	Колумбийски ресторант	Restaurant columbian
Concert Hall	Концертна сала	Концертна зала	Sala de concerte
Corsican Restaurant	Корзикански ресторан	Корсикански ресторант	Restaurant corsican
Creole Restaurant	Креолски ресторан	Креолски ресторант	Restaurant creol
Cricket Club	Крикет клуб	Клуб по крикет	Club cricket
Cricket Ground	Крикет терен	Терен за крикет	Teren cricket
Cuban Restaurant	Кубански ресторан	Кубински ресторант	Restaurant cubanez
Culinary School	Кулинарска школа	Кулинарно училище	Şcoală culinară
Cycling Club	Клуб за велосипедизам	Клуб по колоездене	Club ciclism
Cypriot Restaurant	Кипарски ресторан	Кипърски ресторант	Restaurant cipriot
Czech Restaurant	Чешки ресторан	Чешки ресторант	Restaurant ceh
Danish Restaurant	Дански ресторан	Датски ресторант	Restaurant danez
Dinner Theater	Вечера и театар	Вечерен театър с вечеря	Teatru-dineu
Discotheque	Дискотека	Дискотека	Discotecă
Dominican Restaurant	Доминикански ресторан	Доминикански ресторант	Restaurant dominican
Dongbei Restaurant	Донгбеј ресторан	Ресторант Донгбей	Restaurant Dongbei
Doughnut Restaurant	Поничарница	Понички	Gogoșerie
Drive Through Bottle Shop	Drive-through за алкохол	Drive-through магазин за бутилки	Magazin băuturi drive-thru
Drive-In Cinema	Drive-in кино	Кино drive-in	Cinema drive-in
Dutch Restaurant	Холандски ресторан	Холандски ресторант	Restaurant olandez
Egyptian Restaurant	Египетски ресторан	Египетски ресторант	Restaurant egiptean
English Restaurant	Англиски ресторан	Английски ресторант	Restaurant englezesc
Erotic Restaurant	Еротски ресторан	Еротичен ресторант	Restaurant erotic
Ethiopian Restaurant	Етиопски ресторан	Етиопски ресторант	Restaurant etiopian
Exotic Restaurant	Екзотичен ресторан	Екзотичен ресторант	Restaurant exotic
Fairground	Панаир	Панаир	Târg
Fast Food Restaurant	Ресторан брза храна	Заведение за бързо хранене	Fast-food
Field Hockey Club	Клуб за поле хокеј	Клуб по поло хокей	Club hochei pe teren
Field Hockey Ground	Терен за поле хокеј	Игрище за поло хокей	Teren hochei pe iarbă
Finnish Restaurant	Фински ресторан	Финландски ресторант	Restaurant finlandez
Fondue Restaurant	Фондю ресторан	Ресторант за фондю	Restaurant fondue
French Restaurant	Француски ресторан	Френски ресторант	Restaurant francez
Fusion Restaurant	Фузионирана кујна	Фюжън ресторант	Restaurant fusion
Gas Industry	Гасна индустрија	Газова индустрия	Industria gazelor
General Practitioner	Општи лекар	Общ практик	Medic de familie
German Restaurant	Немачки ресторан	Германски ресторант	Restaurant german
Golf Club	Голф клуб	Голф клуб	Club golf
Greek Restaurant	Грчки ресторан	Гръцки ресторант	Restaurant grec
Grill Restaurant	Грил ресторан	Ресторант на скара	Restaurant grill
Guangdong Restaurant	Гуангдонг ресторан	Ресторант Гуандун	Restaurant Guangdong
Gurudwara	Гурудвара	Гурудвара	Gurdwara
Gymnastics Club	Клуб гимнастика	Клуб по гимнастика	Club gimnastică
Hamburger Restaurant	Ресторан за хамбургери	Ресторант за хамбургери	Restaurant hamburger
Hawaiian Restaurant	Хавајски ресторан	Хавайски ресторант	Restaurant hawaian
High School	Гимназија	Гимназия/Средно училище	Liceu
Hiking Trail	Планинарска пътека	Пътека за преходи	Traseu drumeţie
Historic Site	Историческа забележителност	Исторически обект	Loc istoric
Historical Park	Исторически парк	Исторически парк	Parc istoric
Hockey Club	Клуб по хокей	Клуб по хокей	Club hochei
Horse Race Track	Хиподром	Писта за конни надбягвания	Hipodrom
Horse Riding Club	Клуб за езда	Клуб по конни спортове	Club echitaţie
Horse Riding Trail	Пътека за езда	Пътека за ездра	Traseu echitaţie
Hospital for Women and Children	Болница за жени и деца	Болница за жени и деца	Spital femei şi copii
Hospital of Chinese Medicine	Болница за китайска медицина	Болница за китайска медицина	Spital medicină tradiţională chineză
Hot Pot Restaurant	Хот пот ресторан	Ресторант hot pot	Restaurant hot-pot
Hunan Restaurant	Ресторант Хунан	Ресторант Хунан	Restaurant Hunan
Hungarian Restaurant	Унгарски ресторан	Унгарски ресторант	Restaurant maghiar
Ice Cream Parlor	Сладоледена сладкарница	Сладоледена къща	Gelaterie
Ice Hockey Arena	Арена за хокей на лед	Арена за хокей на лед	Arenă hochei
Ice Hockey Club	Клуб хокей на лед	Клуб по хокей на лед	Club hochei gheaţă
Indian Restaurant	Индийски ресторан	Индийски ресторант	Restaurant indian
Indonesian Restaurant	Индонезийски ресторан	Индонезийски ресторант	Restaurant indonezian
International Railway Station	Международна жп гара	Международна жп гара	Gara internaţională
International Restaurant	Международен ресторант	Международен ресторант	Restaurant internaţional
Iranian Restaurant	Ирански ресторан	Ирански ресторант	Restaurant iranian
Irish Restaurant	Ирландски ресторан	Ирландски ресторант	Restaurant irlandez
Israeli Restaurant	Израелски ресторан	Израелски ресторант	Restaurant israelian
Italian Restaurant	Италиански ресторан	Италиански ресторант	Restaurant italian
Japanese Restaurant	Японски ресторан	Японски ресторант	Restaurant japonez
Jazz Club	Джаз клуб	Джаз клуб	Club jazz
Jewish Restaurant	Еврейски ресторан	Еврейски ресторант	Restaurant evreiesc
Karaoke Bar	Караоке бар	Караоке бар	Bar karaoke
Korean Restaurant	Корейски ресторан	Корейски ресторант	Restaurant coreean
Kosher Restaurant	Кошер ресторан	Кошер ресторант	Restaurant kosher
Lakeshore	Крайбрежие	Крайбрежие на езеро	Mal lac
Latin American Restaurant	Латиноамерикански ресторан	Латиноамерикански ресторант	Restaurant latino-american
Lebanese Restaurant	Ливански ресторан	Ливански ресторант	Restaurant libanez
Local Post Office	Местна поща	Местна поща	Oficiu poştal
Luxembourgian Restaurant	Люксембургски ресторан	Люксембургски ресторант	Restaurant luxemburghez
Macrobiotic Restaurant	Макробиотичен ресторан	Макробиотичен ресторант	Restaurant macrobiotic
Maghrib Restaurant	Магрибски ресторан	Магрибски ресторант	Restaurant maghrebi
Maltese Restaurant	Малтийски ресторан	Малтийски ресторант	Restaurant maltez
Mauritian Restaurant	Маврицийски ресторан	Маврикийски ресторант	Restaurant mauritian
Medicinal Marijuana Dispensary	Аптека за медицински канабис	Диспансер за медицинска марихуана	Dispensar cannabis medical
Mediterranean Restaurant	Средиземноморски ресторан	Средиземноморски ресторант	Restaurant mediteranean
Mexican Restaurant	Мексикански ресторан	Мексикански ресторант	Restaurant mexican
Middle Eastern Restaurant	Ресторан от Близкия изток	Близкоизточен ресторант	Restaurant Orientul Mijlociu
Middle School	Гимназија/Средно училище	Основно/междинно училище	Şcoală gimnazială
Military Airport	Военен аеродром	Военно летище	Aeroport militar
Mining Company	Рударска компания	Добивна компания	Companie minieră
Mongolian Restaurant	Монголски ресторан	Монголски ресторант	Restaurant mongol
Moroccan Restaurant	Марокански ресторан	Марокански ресторант	Restaurant marocan
Mosque	Џамија	Мечеть	Moschee
Motor Racing Stadium	Стадион за моторни трки	Стадион за моторни състезания	Stadion curse moto
Motor Sport Club	Клуб моторни спортови	Клуб по моторни спортове	Club motorsport
Motorcycle Racing Club	Клуб за мотоциклетни състезания	Клуб за мотоциклетни състезания	Club curse moto
Mountain Bike Trail	Пътека за планинско колоездене	Пътека за планинско колоездене	Traseu mountain bike
Multi-Purpose Sport Stadium	Многофункционален спортски стадион	Многофункционален спортен стадион	Stadion polivalent
Music and Video Rental Shop	Магазин за отдаване под наем музика/видео	Магазин за наем музика и видео	Magazin închiriere muzică/video
Music Center	Музикален център	Музикален център	Centru muzical
Mussels Restaurant	Ресторант за миди	Ресторант за миди	Restaurant midii
Nail Salon	Маникир салон	Салон за маникюр	Salon manichiură
National Railway Station	Национална ЖП гара	Национална жп гара	Gara naţională
Natural Recreation Attraction	Природна рекреационна атракция	Природна атракция за отдих	Atracţie naturală
Nepalese Restaurant	Непалски ресторан	Непалски ресторант	Restaurant nepalez
Netball Club	Клуб нетбол	Клуб по нетбол	Club netball
Netball Stadium	Стадион за нетбол	Стадион за нетбол	Stadion netball
Norwegian Restaurant	Норвежки ресторан	Норвежки ресторант	Restaurant norvegian
Oil Industry	Петролна индустрия	Петролна индустрия	Industrie petrolieră
Opera House	Опера	Опера	Teatru de operă
Organic Food Restaurant	Ресторан с органска храна	Ресторант за органична храна	Restaurant bio
Oriental Restaurant	Ориентален ресторан	Ориенталски ресторант	Restaurant oriental
Pagoda	Пагода	Пагода	Pagodă
Pakistani Restaurant	Пакистански ресторан	Пакистански ресторант	Restaurant pakistanez
Pancake House	Място за палачинки	Място за палачинки	Clătitărie
Parkway	Парквеј	Парквей	Parkway
Peruvian Restaurant	Перуански ресторан	Перуански ресторант	Restaurant peruvian
Pharmaceutical Industry	Фармацеутска индустрия	Фармацевтична индустрия	Industrie farmaceutică
Philippine Restaurant	Филипински ресторан	Филипински ресторант	Restaurant filipinez
Pizzeria	Пицария	Пицария	Pizzerie
Polish Restaurant	Полски ресторан	Полски ресторант	Restaurant polonez
Polynesian Restaurant	Полинезийски ресторан	Полинезийски ресторант	Restaurant polinezian
Portuguese Restaurant	Португалски ресторан	Португалски ресторант	Restaurant portughez
Pre School	Детска градина	Детска градина/предучилище	Grădiniţă
Preserve	Резерват	Резерват	Rezervaţie
Primary School	Основно училище	Начално училище	Şcoală primară
Private Airport	Частен аеродром	Частно летище	Aeroport privat
Private Club	Частен клуб	Частен клуб	Club privat
Provençal Restaurant	Провансалски ресторан	Провансалски ресторант	Restaurant provensal
Pub Food Restaurant	Пъб / ресторант	Пъб ресторант	Restaurant pub
Public Airport	Публичен аеродром	Публично летище	Aeroport public
Public Transport Ticket Office	Гише за билети градски транспорт	Каса за билети транспорт	Casierie transport public
Race Track	Тркачка писта	Писта за надбягвания	Circuit curse
Recreational Marijuana Dispensary	Диспансер за рекреационна марихуана	Диспансер за рекреационна марихуана	Dispensar cannabis recreaţional
Retirement Community	Дом за възрастни	Община/комюнити за пенсионери	Cămin pentru vârstnici
River Scenic Area	Район с река и панорама	Район с река и гледка	Zonă pitorească de râu
Rock Climbing Trail	Маршрут за катерене по скали	Маршрут за скално катерене	Traseu escaladă stâncă
Romanian Restaurant	Румънски ресторант	Румънски ресторант	Restaurant românesc
Rowing Club	Клуб по гребане	Клуб по гребане	Club canotaj
Rugby Club	Регби клуб	Клуб по ръгби	Club rugby
Rugby Ground	Игрище за ръгби	Игрище за ръгби	Teren rugby
Running Club	Клуб за бягане	Клуб за бягане	Club alergare
Russian Restaurant	Руски ресторан	Руски ресторант	Restaurant rusesc
Sailing Club	Клуб по ветроходство	Клуб по ветроходство	Club de sailing
Salad Bar	Салат бар	Бар за салати	Bar salate
Sandwich Restaurant	Ресторант за сендвичи	Закусвалня за сандвичи	Sandvișerie
Savoy Restaurant	Ресторан Савој	Ресторан Савой	Restaurant Savoy
Scandinavian Restaurant	Скандинавски ресторан	Скандинавски ресторант	Restaurant scandinav
Scottish Restaurant	Шкотски ресторан	Шотландски ресторант	Restaurant scoţian
Scuba Diving Club	Клуб за нуркање	Клуб по гмуркане	Club de scufundări
Seafood Restaurant	Ресторант морски плодови	Ресторант морски дарове	Restaurant fructe de mare
Seashore	Морска обала	Морски бряг	Litoral
Senior High School	Виша средња школа	Гимназия (старши класове)	Liceu (an superior)
Shandong Restaurant	Ресторан Шандонг	Ресторан Шандонг	Restaurant Shandong
Shanghainese Restaurant	Шангајски ресторан	Шанхайски ресторант	Restaurant shanghaian
Shooting Club	Стрелачки клуб	Клуб за стрелба	Club tir
Sichuan Restaurant	Сечуански ресторан	Съчуански ресторант	Restaurant Sichuan
Sicilian Restaurant	Сицилијански ресторан	Сицилиански ресторант	Restaurant sicilian
Skateboard Club	Клуб за скејтборд	Скейтборд клуб	Club skateboard
Ski Resort	Ски центар	Ски курорт	Staţiune de schi
Skiing Club	Скијашки клуб	Клуб по ски	Club schi
Slavic Restaurant	Славјански ресторан	Славянски ресторант	Restaurant slav
Slovak Restaurant	Словацки ресторан	Словацки ресторант	Restaurant slovac
Snacks Restaurant	Заведение за закуски	Заведение за леки закуски	Snack-bar
Snooker, Pool or Billiard Centre	Центар за снукер и билјард	Център за снукър и билярд	Centru snooker/biliard
Soccer Club	Фудбалски клуб	Футболен клуб	Club fotbal
Soccer Stadium	Фудбалски стадион	Футболен стадион	Stadion fotbal
Soul Food	Соул фуд ресторан	Soul food ресторант	Restaurant soul food
Soup Restaurant	Ресторант за супи	Ресторант за супи	Restaurant supe
Spanish Restaurant	Шпански ресторан	Испански ресторант	Restaurant spaniol
Special Clothing and Accessories Shop	Специјална продавница за облека и аксесоари	Магазин за специално облекло и аксесоари	Magazin haine speciale
Special School	Специјална школа	Специално училище	Şcoală specială
Specialist	Специјалист	Специалист	Specialist
Specialized Hospital	Специјализована болница	Специализирана болница	Spital specializat
Sport School	Спортска школа	Спортно училище	Şcoală sportivă
Sports Clothing and Accessories Shop	Продавница спортска опрема	Магазин за спортни дрехи и принадлежности	Magazin echipament sportiv
Squash Club	Скуош клуб	Скуош клуб	Club squash
Squash Court	Корт за скуош	Скуош корт	Teren squash
Steak House	Стекхаус / Ресторант за стек	Стейкхаус	Steakhouse
Subway Station	Метро станица	Метростанция	Staţie metrou
Sudanese Restaurant	Судански ресторан	Судански ресторант	Restaurant sudanez
Surinamese Restaurant	Суринамски ресторан	Суринамски ресторант	Restaurant surinamez
Sushi Restaurant	Суши ресторант	Суши ресторант	Sushi bar
Swedish Restaurant	Шведски ресторан	Шведски ресторант	Restaurant suedez
Swimming Club	Пливачки клуб	Плувен клуб	Club înot
Swimming Pool	Базен	Басейн	Piscină
Swiss Restaurant	Швајцарски ресторан	Швейцарски ресторант	Restaurant elveţian
Synagogue	Синагога	Синагога	Sinagogă
Syrian Restaurant	Сиријски ресторан	Сирийски ресторант	Restaurant sirian
Table Tennis Club	Клуб за стоном тенис	Клуб по тенис на маса	Club tenis de masă
Taiwanese Restaurant	Тајвански ресторан	Тайвански ресторант	Restaurant taiwanez
Takeaway Food	Храна за понесување	Храна за вкъщи	Mâncare la pachet
Tapas Restaurant	Тапас ресторан	Тапас ресторант	Restaurant tapas
Taxi Limousine And Shuttle Service Company	Такси, лимузина и шатл услуга	Такси, лимузина и трансферна компания	Servicii taxi/limuzină/transfer
Technical School	Техничка школа	Техническо училище	Şcoală tehnică
Temple	Храм	Храм	Templu
Tennis Club	Тениски клуб	Клуб по тенис	Club tenis
Tennis Court	Тенис корт	Тенис корт	Teren tenis
Teppanyaki Restaurant	Тепанаки ресторан	Тепаняки ресторант	Restaurant teppanyaki
Thai Restaurant	Тајландски ресторан	Тайландски ресторант	Restaurant thailandez
Tibetan Restaurant	Тибетски ресторан	Тибетски ресторант	Restaurant tibetan
Tourist Information Office	Туристичко информативно биро	Туристически информационен офис	Oficiu informaţii turistice
Tram Stop	Трамвајска станица	Трамвайна спирка	Staţie tramvai
Transport Company	Транспортна компанија	Транспортна компания	Companie de transport
Truck Parking Facility	Паркинг за камиони	Паркинг за камиони	Parcare camioane
Truck Stop	Почивка за камиони	Почивка за камиони	Popas camioane
Truck Wash	Миење камиони	Мойка за камиони	Spălătorie camioane
Tunisian Restaurant	Тунижански ресторан	Тунизийски ресторант	Restaurant tunisian
Turkish Restaurant	Турски ресторан	Турски ресторант	Restaurant turcesc
Tyres Service	Сервис за гуми	Вулканизиране/сервиз гуми	Service anvelope
Urban Railway Station	Градска железничка станица	Градска жп гара	Staţie feroviară urbană
Uruguayan Restaurant	Уругвајски ресторан	Уругвайски ресторант	Restaurant uruguayan
Vegan Restaurant	Вегански ресторан	Вегански ресторант	Restaurant vegan
Vegetarian Restaurant	Вегетаријански ресторан	Вегетариански ресторант	Restaurant vegetarian
Venezuelan Restaurant	Венецуелски ресторан	Венецуелски ресторант	Restaurant venezuelean
Vietnamese Restaurant	Вијетнамски ресторан	Виетнамски ресторант	Restaurant vietnamez
Vocational School	Стручно училиште	Професионално училище	Şcoală profesională
Volleyball Club	Одбојкашки клуб	Волейболен клуб	Club volei
Welsh Restaurant	Велшки ресторан	Уелски ресторант	Restaurant galez
Western Restaurant	Вестерн ресторант	Уестърн ресторант	Restaurant western
Wilderness Area	Диви предели	Дива местност	Zonă sălbatică
Wine Bar	Винобар	Винен бар	Wine bar
